id,AGE,AREA_KM2,NAME,POP,FIPS,time,SEX
1,0,364485,Japan,572954,JA,2010,Male
2,1,364485,Japan,581748,JA,2010,Male
3,2,364485,Japan,585239,JA,2010,Male
4,3,364485,Japan,582223,JA,2010,Male
5,4,364485,Japan,568788,JA,2010,Male
6,5,364485,Japan,571899,JA,2010,Male
7,6,364485,Japan,590530,JA,2010,Male
8,7,364485,Japan,602349,JA,2010,Male
9,8,364485,Japan,612527,JA,2010,Male
10,9,364485,Japan,620373,JA,2010,Male
11,10,364485,Japan,619459,JA,2010,Male
12,11,364485,Japan,657577,JA,2010,Male
13,12,364485,Japan,660745,JA,2010,Male
14,13,364485,Japan,662033,JA,2010,Male
15,14,364485,Japan,674129,JA,2010,Male
16,15,364485,Japan,677114,JA,2010,Male
17,16,364485,Japan,625888,JA,2010,Male
18,17,364485,Japan,619600,JA,2010,Male
19,18,364485,Japan,630389,JA,2010,Male
20,19,364485,Japan,618068,JA,2010,Male
21,20,364485,Japan,609281,JA,2010,Male
22,21,364485,Japan,620004,JA,2010,Male
23,22,364485,Japan,647687,JA,2010,Male
24,23,364485,Japan,670543,JA,2010,Male
25,24,364485,Japan,688413,JA,2010,Male
26,25,364485,Japan,711549,JA,2010,Male
27,26,364485,Japan,731136,JA,2010,Male
28,27,364485,Japan,734791,JA,2010,Male
29,28,364485,Japan,737263,JA,2010,Male
30,29,364485,Japan,756566,JA,2010,Male
31,30,364485,Japan,791118,JA,2010,Male
32,31,364485,Japan,777633,JA,2010,Male
33,32,364485,Japan,805757,JA,2010,Male
34,33,364485,Japan,828881,JA,2010,Male
35,34,364485,Japan,856998,JA,2010,Male
36,35,364485,Japan,906511,JA,2010,Male
37,36,364485,Japan,969013,JA,2010,Male
38,37,364485,Japan,972824,JA,2010,Male
39,38,364485,Japan,950277,JA,2010,Male
40,39,364485,Japan,926304,JA,2010,Male
41,40,364485,Japan,901582,JA,2010,Male
42,41,364485,Japan,903751,JA,2010,Male
43,42,364485,Japan,884824,JA,2010,Male
44,43,364485,Japan,831658,JA,2010,Male
45,44,364485,Japan,735217,JA,2010,Male
46,45,364485,Japan,844396,JA,2010,Male
47,46,364485,Japan,816296,JA,2010,Male
48,47,364485,Japan,793764,JA,2010,Male
49,48,364485,Japan,770946,JA,2010,Male
50,49,364485,Japan,769802,JA,2010,Male
51,50,364485,Japan,776564,JA,2010,Male
52,51,364485,Japan,790779,JA,2010,Male
53,52,364485,Japan,769151,JA,2010,Male
